Ano,Mês,LOCAL,INSCRIÇÃO,HIDROMETRO,LEITURA ANTERIOR,LEITURA ATUAL, m3,R$
2007,janeiro,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,480349-3,E03N001461,5945,6280,50,"R$ 4796,60"
2007,janeiro,FACULD. DE DIREITO CIÊNC. POL DIR. 1,478809-5,E03N001214,5335,5749,307,"R$ 3333,60"
2007,janeiro,FACULDADE DE TECNO- LOGIA FTD LIG 1,475851-1,H78T000015,17848,18745,826,"R$ 9042,60"
2007,janeiro,FUB -SCEN TR EST.ESP. BIOLOGIA,8542-1,E03N000897,25118,26159,811,"R$ 8877,60"
2007,janeiro,FUB. BRASÍLIA CNN 01 BL E SALAS CEIL.,209600-5,A04N457307,1206,1229,13,"R$ 99,60"
2007,janeiro,FUB-BRASÍLIA SCLN 205 BL. D LJ 07,19696-7,A00N445103,1882,1897,13,"R$ 99,60"
2007,janeiro,FUB-BRASÍLIA VNSF CJ B2 AREA UNIV. 1 UPLAN,373656-3,C01N000109,7637,7693,52,"R$ 528,60"
2007,janeiro,FUND.UNIV. BRASÍLIA PCA CORETO,331567-3,A05S118580,65,71,10,"R$ 66,60"
2007,janeiro,GARAGEM  DA UNB,485967-7,C01N000495,1742,1859,707,"R$ 7733,60"
2007,janeiro,INST. DE-ARTE IDA SCLN 406 BL. A LJ 32,19813-7,A05S117901,21,21,10,"R$ 66,60"
2007,janeiro,OFICINA MAQUETE P INSTITUTO DE  ARTE UNB,480338-8,A06A04134,1379,1694,79,"R$ 825,60"
2007,janeiro,POSTO DE COMBUSTIVEL - GASOLINA UNB,480340-1,A06A040133,318,345,20,"R$ 176,60"
2007,janeiro,PREFEITURA DA UNB LIGAÇÃO 02,480342-6,E03N000289,5121,5768,361,"R$ 3927,60"
2007,janeiro,UNB  ARQUITETURA DANÇA SG 10-1 CEPLAN,476240-1,E03N000308,1200,1344,103,"R$ 1089,60"
2007,janeiro,UNB - PAVILHÃO JOÃO CALMON 01,478811-7,E04N000180,3706,4472,33,"R$ 319,60"
2007,janeiro,UNB - POSTO DE SAÚDE,480337-1,C03N001119,1413,1617,79,"R$ 731,76"
2007,janeiro,UNB - REITORIA LIGAÇÃO 01,480347-7,E03N001158,6825,7833,369,"R$ 4015,60"
2007,janeiro,UnB ALMOXARIFADO CENTRAL LIG. 01,478994-6,C03N000966,1955,1977,791,"R$ 8657,60"
2007,janeiro,UNB ASSOS. DOS SERVID. ASFUB LIG. 2,475855-2,A04L054783,624,649,47,"R$ 473,60"
2007,janeiro,UnB BANCA DE REVISTA COLINA,484167-1,A06A080132,50,59,10,"R$ 871,27"
2007,janeiro,UNB BANCO DO BRASIL LIGAÇÃO 01,479004-9,C03N001205,712,817,24,"R$ 220,60"
2007,janeiro,UNB BANCO REAL LIGAÇÃO 01,479007-3,C03N000596,25,25,10,"R$ 66,60"
2007,janeiro,UNB CANTINA CHICO MENDES,479009-1,A06A039940,675,738,33,"R$ 319,60"
2007,janeiro,UnB CASA DO  ESTUDANTE BL.A,481326-1,E03N000829,8870,9541,2968,"R$ 32604,60"
2007,janeiro,UnB CASA DO ESTUDANTE BL. B LIG-1,481327-8,E03N000284,6247,6808,1807,"R$ 19974,20"
2007,janeiro,UNB CASA DO PROFº 2 ADUNB LIG. 2,475854-4,E03N000286,451,534,15,"R$ 121,60"
2007,janeiro,UNB CENT DE EXELENCIA EM TURISMO LIG 01,479019-7,E04N000176,2572,2915,111,"R$ 1177,60"
2007,janeiro,UNB CENTRO DE CONVIVÊNCIA NEGRA,480339-6,A06A040132,135,155,10,"R$ 66,60"
