Ano,Mês,LOCAL,INSCRIÇÃO,HIDROMETRO,LEITURA ANTERIOR,LEITURA ATUAL,m3,R$,media_6_meses_reais,desvio_padrao_6_meses_reais,limite_superior_6_meses_reais,limite_inferior_6_meses_reais,anormal_6_meses_reais,media_12_meses_reais,desvio_padrao_12_meses_reais,limite_superior_12_meses_reais,limite_inferior_12_meses_reais,anormal_12_meses_reais,anormal_reais,media_6_meses_m3,desvio_padrao_6_meses_m3,limite_superior_6_meses_m3,limite_inferior_6_meses_m3,anormal_6_meses_m3,media_12_meses_m3,desvio_padrao_12_meses_m3,limite_superior_12_meses_m3,limite_inferior_12_meses_m3,anormal_12_meses_m3,anormal_m3,anormal
2007,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,50,4796.6,4796.6,,,,0,4796.6,,,,0,0,50.0,,,,0,50.0,,,,0,0,0
2007,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,623,6809.6,5803.1,1423.41,7226.51,4379.69,0,5803.1,1423.41,7226.51,4379.69,0,0,336.5,405.17,741.67,-68.67,0,336.5,405.17,741.67,-68.67,0,0,0
2007,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,461,5036.82,5547.67,1099.44,6647.11,4448.23,0,5547.67,1099.44,6647.11,4448.23,0,0,378.0,295.38,673.38,82.62,0,378.0,295.38,673.38,82.62,0,0,0
2007,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,673,7573.76,6054.2,1353.55,7407.75,4700.64,1,6054.2,1353.55,7407.75,4700.64,1,1,451.75,282.71,734.46,169.04,0,451.75,282.71,734.46,169.04,0,0,1
2007,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,778,8762.36,6595.83,1685.5,8281.33,4910.33,1,6595.83,1685.5,8281.33,4910.33,1,1,517.0,285.01,802.01,231.99,0,517.0,285.01,802.01,231.99,0,0,1
2007,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,601,6758.72,6622.98,1509.02,8132.0,5113.95,0,6622.98,1509.02,8132.0,5113.95,0,0,531.0,257.22,788.22,273.78,0,531.0,257.22,788.22,273.78,0,0,0
2007,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,345,3860.8,6467.01,1762.6,8229.61,4704.41,1,6228.38,1728.46,7956.84,4499.92,1,1,580.17,154.61,734.78,425.55,1,504.43,245.1,749.53,259.33,0,0,1
2007,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,238,2649.56,5773.67,2328.3,8101.97,3445.37,1,5781.03,2040.04,7821.07,3740.99,1,1,516.0,204.97,720.97,311.03,1,471.12,245.7,716.82,225.43,0,0,1
2007,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,27,261.04,4977.71,3260.36,8238.07,1717.34,1,5167.7,2650.87,7818.57,2516.82,1,1,443.67,288.02,731.68,155.65,1,421.78,273.38,695.16,148.4,1,1,1
2007,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,557,6260.64,4758.85,3090.92,7849.77,1667.94,0,5276.99,2523.05,7800.04,2753.94,0,0,424.33,273.05,697.38,151.28,0,435.3,261.27,696.57,174.03,0,0,0
