Ano,Mês,LOCAL,INSCRIÇÃO,HIDROMETRO,LEITURA ANTERIOR,LEITURA ATUAL,m3,R$
2007,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,50,4796.6
2008,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,451,5060.72
2009,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,250,2947.8
2010,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,440,5555.4
2011,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,646,8526.48
2012,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,556,7861.24
2013,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,555,8728.6
2014,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,556,9572.64
2015,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,556,9572.64
2016,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,443,9518.64
2017,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,185,4779.72
2018,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,157,3786.38
2019,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,289,7418.97
2020,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,352,9412.85
2021,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,69,1814.14
2022,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,116,3196.28
2023,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,410,11897.98
2024,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,540,17733.7
2007,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,623,6809.6
2008,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,480,5389.0
2009,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,235,2768.1
2010,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,440,555.4
2011,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,686,9195.61
2012,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,599,8631.9
2013,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,849,13472.84
2014,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,626,10786.44
2015,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,626,10786.44
2016,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,440,9689.0
2017,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,477,12488.52
