id,name,registration_number,hidrometer_number,created_at,updated_at,owner_id
472,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,2025-01-21 21:17:54.856140,2025-01-21 21:17:54.856170,1
473,BSAN UNB LD BSAN,7204647,A14B946881,2025-01-21 21:17:54.862692,2025-01-21 21:17:54.862728,1
474,CAEP/IP UNB A S/N C.UNIV. DARCY RIBEIRO – AO LADO DA FIOCRUZ,6946771,Y12K058408,2025-01-21 21:17:54.868867,2025-01-21 21:17:54.868927,1
475,CAMPUS NOVO CEILÃNCIA QNN 26,6454402,Y11X022562,2025-01-21 21:17:54.876506,2025-01-21 21:17:54.876549,1
476,CAMPUS PLANALTINA VNSF CJ B2 AREA UNIV 2 UNB,5771871,F03N000319,2025-01-21 21:17:54.884859,2025-01-21 21:17:54.884906,1
477,CASA DE ESTUDANTE – PLANALTINA VNSF CJ A4 LT06,690449,A02N517846,2025-01-21 21:17:54.891984,2025-01-21 21:17:54.892015,1
478,CASA DE ESTUDANTE – PLANALTINA VNSF CJ B3 LT19,694819,A03N421585,2025-01-21 21:17:54.898263,2025-01-21 21:17:54.898318,1
479,CASA DE ESTUDANTE – PLANALTINA VNSF CJ C2 LT11,690899,A09X271873,2025-01-21 21:17:54.904385,2025-01-21 21:17:54.904414,1
480,CASA DE ESTUDANTE – PLANALTINA VNSF CJ C2 LT17,690953,A09X219511,2025-01-21 21:17:54.910380,2025-01-21 21:17:54.910401,1
481,CASA DE ESTUDANTE – PLANALTINA VNSF CJ D3 LT17,692433,A05S120390,2025-01-21 21:17:54.917534,2025-01-21 21:17:54.917562,1
482,CASA DE ESTUDANTE – SRNA Q01 CJ E LT 47 APT 201,4364929,A04F003891,2025-01-21 21:17:54.923338,2025-01-21 21:17:54.923358,1
483,CASA DE ESTUDANTE – SRNA Q01 CJ E LT 47 APT 202,4364937,A04F003889,2025-01-21 21:17:54.929014,2025-01-21 21:17:54.929037,1
484,CASA DO ESTUDANTE UNB CASA DO ESTUDANTE,4813251,A06A039872,2025-01-21 21:17:54.935133,2025-01-21 21:17:54.935163,1
485,CENT. SEL. PROMO. EVENTOS – FUB SMPW Q 26 CJ 03 LT 07 FUB,924831,A06X058221,2025-01-21 21:17:54.942376,2025-01-21 21:17:54.942404,1
486,CENTRO DE CONVIVENCIA DARCY RIBEIRO UNB AE CENTRO DE CONVIVENCIA DARCY RIBEIRO,7911297,Y15S761021,2025-01-21 21:17:54.949192,2025-01-21 21:17:54.949242,1
487,CENTRO DE CONVIVENCIA DARCY RIBEIRO UNB AE CENTRO DE CONVIVENCIA DARCY RIBEIRO,7923252,Y17N380280,2025-01-21 21:17:54.955517,2025-01-21 21:17:54.955549,1
488,CENTRO DE EDUCAÇAO A DISTANCIA SCLN 115 BL A SS09,189677,A01N461451,2025-01-21 21:17:54.961669,2025-01-21 21:17:54.961691,1
489,CENTRO DE EDUCAÇÃO A DISTANCIA  SCLN 115 BL A SS 11,189693,A08S417882,2025-01-21 21:17:54.969002,2025-01-21 21:17:54.969032,1
490,CENTRO DE EDUCAÇÃO A DISTANCIA SCLN 115 BL A SS 19,189731,A06A045086,2025-01-21 21:17:54.976306,2025-01-21 21:17:54.976333,1
491,CENTRO DE EDUCAÇÃO A DISTANCIA SCLN 115 BL A SS21,189741,y11x151994,2025-01-21 21:17:54.983391,2025-01-21 21:17:54.983417,1
492,CENTRO DE EDUCAÇÃO A DISTANCIA SCLN 115 BL A SS25,189758,A11C051355,2025-01-21 21:17:54.989310,2025-01-21 21:17:54.989333,1
493,CENTRO DE EDUCAÇÃO A DISTÂNCIA SCLN 115 BL ASS 15,189715,y09x031860,2025-01-21 21:17:54.996674,2025-01-21 21:17:54.996722,1
494,CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 48,198171,A03N543148,2025-01-21 21:17:55.003248,2025-01-21 21:17:55.003277,1
495,CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 52,198196,A05S051260,2025-01-21 21:17:55.011519,2025-01-21 21:17:55.011546,1
496,CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 54,198201,A06S772595,2025-01-21 21:17:55.020038,2025-01-21 21:17:55.020070,1
497,CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 58,198218,A03N647689,2025-01-21 21:17:55.025814,2025-01-21 21:17:55.025831,1
498,CESPE,198081,A07F660334,2025-01-21 21:17:55.031500,2025-01-21 21:17:55.031528,1
499,CESPE,198111,YO88385748,2025-01-21 21:17:55.037665,2025-01-21 21:17:55.037691,1
500,CESPE,198145,AO65242037,2025-01-21 21:17:55.043711,2025-01-21 21:17:55.043731,1
501,CESPE SCLN 406 BL A SS  04,198013,A07F658388,2025-01-21 21:17:55.050195,2025-01-21 21:17:55.050209,1
502,CESPE SCLN 406 BL A SS  08,198048,A06S219320,2025-01-21 21:17:55.056097,2025-01-21 21:17:55.056119,1
503,CESPE SCLN 406 BL A SS  12,198064,A01N460767,2025-01-21 21:17:55.063119,2025-01-21 21:17:55.063144,1
